plot.year,treatment,year,simpsonsdiversity,logsimpson,shannondiversity,logshannon
AU-In-1.1,invaded,One,0.0739645,-1.130976674,0.16302363,-0.787749441
AU-Ed-1.1,edge,One,0,0,0,0
AU-Un-1.1,uninvaded,One,0.38472891,-0.414845178,0.79418203,-0.100079944
AU-In-2.1,invaded,One,0.32,-0.494850022,0.50040242,-0.300680599
AU-Ed-2.1,edge,One,0.22538744,-0.647070289,0.45757534,-0.339537389
AU-Un-2.1,uninvaded,One,0,0,0,0
AU-In-3.1,invaded,One,0,0,0,0
AU-Ed-3.1,edge,One,0.51623208,-0.287155011,0.79549433,-0.099362912
AU-Un-3.1,uninvaded,One,0.21002086,-0.677737567,0.36537808,-0.437257511
AU-In-4.1,invaded,One,0,0,0,0
AU-Ed-4.1,edge,One,0.24781326,-0.605875459,0.55594721,-0.254966445
AU-Un-4.1,uninvaded,One,0.08608869,-1.065053901,0.21775865,-0.662024585
AU-In-5.1,invaded,One,0,0,0,0
AU-Ed-5.1,edge,One,0.29924564,-0.523972169,0.57914045,-0.237216101
AU-Un-5.1,uninvaded,One,0.34844085,-0.457870935,0.53281621,-0.273422571
AU-In-6.1,invaded,One,0.28161853,-0.550338773,0.57938078,-0.237035916
AU-Ed-6.1,edge,One,0.35238341,-0.452984546,0.78124177,-0.107214545
AU-Un-6.1,uninvaded,One,0,0,0,0
AU-In-7.1,invaded,One,0.01999796,-1.699014305,0.05646517,-1.24821936
AU-Ed-7.1,edge,One,0.12979989,-0.886725676,0.25303698,-0.596816004
AU-Un-7.1,uninvaded,One,0.49652778,-0.304056448,0.85703525,-0.067001315
AU-In-8.1,invaded,One,0,0,0,0
AU-Ed-8.1,edge,One,0.09183673,-1.036983588,0.22445109,-0.648878281
AU-Un-8.1,uninvaded,One,0.52806122,-0.277315725,0.81650334,-0.088042034
AU-In-9.1,invaded,One,0.14820971,-0.829123343,0.30126081,-0.521057361
AU-Ed-9.1,edge,One,0.26903047,-0.57019853,0.47483549,-0.323456829
AU-Un-9.1,uninvaded,One,0.4338843,-0.362626064,0.62549136,-0.203778685
AU-In-10.1,invaded,One,0.09070295,-1.042378588,0.19144408,-0.717958059
AU-Un-10.1,uninvaded,One,0.29833333,-0.525298224,0.67825435,-0.168607412
AU-In-1.2023,invaded,Three,0,0,0,0
AU-Ed-1.2023,edge,Three,0.51939513,-0.284502127,0.88678969,-0.052179365
AU-Un-1.2023,uninvaded,Three,0,0,0,0
AU-In-2.2023,invaded,Three,0,0,0,0
AU-Ed-2.2023,edge,Three,0.4260355,-0.370554211,0.61724177,-0.209544692
AU-Un-2.2023,uninvaded,Three,0.09070295,-1.042378588,0.19144408,-0.717958059
AU-In-3.2023,invaded,Three,0.03844675,-1.415140366,0.09650896,-1.015432364
AU-Ed-3.2023,edge,Three,0.25580012,-0.592099256,0.48224593,-0.316731429
AU-Un-3.2023,uninvaded,Three,0.04253308,-1.371273167,0.10473244,-0.979918778
AU-In-4.2023,invaded,Three,0,0,0,0
AU-Ed-4.2023,edge,Three,0.28959771,-0.538204877,0.49470241,-0.305655974
AU-Un-4.2023,uninvaded,Three,0.66435826,-0.177597661,1.38371156,0.141045569
AU-In-6.2023,invaded,Three,0.22206833,-0.653513373,0.46568348,-0.331909168
AU-Un-6.2023,uninvaded,Three,0.71916152,-0.143173558,1.37422968,0.138059324
AU-In-7.2023,invaded,Three,0.19132653,-0.718224805,0.34049978,-0.467883164
AU-Ed-7.2023,edge,Three,0.61461219,-0.21139883,1.04785236,0.020300096
AU-Un-7.2023,uninvaded,Three,0.62163265,-0.206466183,1.11878798,0.048747792
AU-In-8.2023,invaded,Three,0.32,-0.494850022,0.50040242,-0.300680599
AU-Ed-8.2023,edge,Three,0.465,-0.332547047,0.81880846,-0.086817679
AU-Un-8.2023,uninvaded,Three,0.12444444,-0.905024502,0.24493003,-0.610957964
AU-In-9.2023,invaded,Three,0.01960592,-1.707612774,0.05554608,-1.255346585
AU-Ed-9.2023,edge,Three,0.02173651,-1.662810185,0.06049829,-1.218256901
AU-Un-9.2023,uninvaded,Three,0.55121528,-0.258678752,0.87781814,-0.056595449
AU-In-10.2023,invaded,Three,0,0,0,0
AU-Un-10.2023,uninvaded,Three,0,0,0,0
